dest_ip,dest_port,metadata_comment
5.129.254.129,8888,http
85.8.47.209,7080,http
85.8.47.211,7080,http
85.8.47.208,7080,http
5.129.254.154,8888,http
85.8.47.210,7080,http
85.8.47.207,7080,http
85.8.47.212,7080,http
85.8.47.198,7080,http
5.129.254.49,8888,http
5.129.254.51,8888,http
5.129.254.60,8888,http
85.237.62.189,3629,socks4
5.129.254.5,8888,http
91.247.250.215,4145,socks4
185.200.188.234,10001,http
93.167.245.6,4145,socks4
89.19.215.51,7687,socks4
5.129.254.70,8888,http
152.228.134.176,48080,http
92.5.8.178,3128,http
176.111.37.5,39811,http
46.8.104.176,1080,socks4
95.211.174.135,3128,http
5.45.119.70,1080,socks5
88.87.79.18,3629,socks4
153.76.122.178,443,http
193.158.12.141,4153,socks4
134.209.29.120,3128,http
176.111.37.216,39811,http
91.134.141.4,3128,http
83.219.1.130,5678,socks4
18.157.123.132,3128,http
217.25.229.244,2080,socks5
160.238.65.8,3128,http
2.27.63.250,8888,http
37.58.221.247,3128,http
194.87.208.22,443,http
153.76.122.178,443,socks5
93.93.61.153,1080,socks4
195.133.27.40,1080,socks5
193.233.86.198,1080,socks4
77.85.171.92,4153,socks4
213.165.38.49,1080,socks5
89.19.215.51,7687,socks5
109.235.189.4,10080,socks5
95.178.108.189,5678,socks4
109.106.196.250,4145,socks4
95.182.78.31,5678,socks4
159.195.22.223,8888,http
144.124.251.24,10744,http
103.119.19.36,1080,socks5
79.137.78.133,8010,http
95.3.69.222,8080,http
81.162.249.129,4153,socks4
144.124.251.24,11450,http
79.111.118.99,1080,socks5
81.12.157.98,5678,socks4
45.74.31.42,23274,socks5
85.117.32.166,4153,socks4
84.2.239.42,4153,socks4
46.151.113.10,5678,socks4
46.241.57.29,1080,socks5
31.43.194.184,1080,socks5
45.74.31.30,31557,socks5
95.182.107.210,1080,socks4
89.189.132.154,1080,socks5
217.182.195.221,30005,http
45.74.31.42,23500,socks5
209.97.150.167,3128,http
45.74.31.30,7316,socks5
196.64.100.209,1083,http
52.205.141.145,3128,http
94.230.127.180,1080,socks5
80.234.36.71,9050,socks5
160.238.65.9,3128,http
52.21.158.119,3128,http
103.167.61.168,3128,http
5.202.179.138,3128,http
101.32.65.42,8888,http
2.56.108.184,1080,socks5
45.74.31.42,15097,socks5
198.199.86.11,3128,http
144.31.189.114,1080,socks5
45.74.31.30,5871,socks5
193.43.159.161,1080,socks4
107.150.41.226,18080,http
37.59.125.131,8888,http
52.254.114.3,8443,http
82.26.171.189,1081,socks5
159.203.61.169,3128,http
150.5.166.194,1080,http
69.70.74.118,1337,socks4
34.43.46.91,443,http
