alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1788718789.1373,elite,2055.6810604528,1784382630.9015,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Labinot-Fushë,Europe,EU,Albania,AL,,false,"Global Connectivity Solutions LLP",41.1533,20.1683,false,"Global Connectivity Solutions LLP",true,"Elbasan County",success,Europe/Tirane,,1788615728,1788718976.9181,1082,socks5,147.45.221.112:1082,true,77.654838562012,74992,56095,57.207808554624,147.45.221.112
true,1788718976.7008,elite,2830.5323453126,1710540153.759,"AS8364 Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networking Center",POZMAN-COM,Poznan,Europe,EU,Poland,PL,,false,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomput",52.3948,16.9189,false,"Pozman ZOO",true,"Greater Poland",success,Europe/Warsaw,61-558,1788567491,1788718976.7008,42344,socks4,212.126.5.246:42344,true,116.72949790955,80637,835162,8.805098061911,212.126.5.246
true,1788718728.8596,elite,971.8840799443,1788689364.8616,"AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM",MT-MPLS,Rabat,Africa,AF,Morocco,MA,,false,"Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM",34.0072,-6.8407,false,"Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM",false,Rabat-Salé-Kénitra,success,Africa/Casablanca,,1788689017,1788718975.952,1084,http,196.64.99.125:1084,false,266.8194770813,257,98,72.394366197183,196.64.99.125
true,1788718975.9256,elite,3825.4266604653,1776090222.3749,"AS24342 BRACNet Limited",BRAC-BDMAIL-AS-BD,Dhaka,Asia,AS,Bangladesh,BD,,false,"BRACNet Limited",23.7891,90.4126,false,bracNet,true,"Dhaka Division",success,Asia/Dhaka,1212,1788444181,1788718975.9256,1080,socks5,115.127.53.114:1080,true,1049.18217659,77960,85700,47.635341561774,115.127.53.114
true,1788718913.7015,elite,2698.2719991054,1776083102.1577,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Herndon,"North America",NA,"United States",US,,false,"Cox Communications Inc.",38.9251,-77.392,false,"Cox Communications",true,Virginia,success,America/New_York,20171,1788179295,1788718975.8886,4145,socks5,72.205.0.93:4145,true,961.48753166199,117758,71551,62.204121304323,72.205.0.93
true,1788718870.1081,elite,332.26321588691,1788589126.4655,"AS140641 YOTTA NETWORK SERVICES PRIVATE LIMITED",YOTTA,Mumbai,Asia,AS,India,IN,,false,"Real Time Data Services Private Limited",19.0748,72.8856,false,"Real Time Data Services Private Limited",false,Maharashtra,success,Asia/Kolkata,410206,1788585443,1788718975.8821,8080,http,45.194.41.44:8080,true,299.77774620056,883,517,63.071428571429,45.194.41.44
true,1788718827.8838,elite,1072.792939857,1710603928.0138,"AS9341 PT INDONESIA COMNETS PLUS",ICONPLN-ID-AP-ISP,Pamulang,Asia,AS,Indonesia,ID,,false,"PT Indonesia Comnets Plus",-6.33751,106.796,false,,true,"West Java",success,Asia/Jakarta,15417,1788448461,1788718975.7341,1080,socks4,202.162.219.12:1080,true,904.96492385864,89295,825620,9.7599230529612,202.162.219.12
true,1788718975.7209,elite,3317.3971546249,1786330370.4794,"AS14080 Telmex Colombia S.A.","Telmex Colombia S.A.",Ibague,"South America",SA,Colombia,CO,,false,"Telmex Colombia S.A.",4.43573,-75.2029,false,"Telmex Colombia S.A.",false,"Tolima Department",success,America/Bogota,730001,1788142103,1788718975.7209,1080,socks4,181.57.178.146:1080,true,816.46275520325,59399,58371,50.436443916108,181.57.178.146
true,1788718951.4297,elite,890.52104564636,1696985656.7541,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.9381,-84.4633,false,"Performive LLC",true,Georgia,success,America/New_York,30067,1788557581,1788718975.6894,18301,socks4,192.111.135.18:18301,true,743.5576915741,441580,998001,30.674203118824,192.111.135.18
true,1788709827.6469,elite,1088.292760892,1788628187.725,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,Digitalocean,false,"South West",success,Asia/Singapore,627753,1788625675,1788718975.6294,1080,socks5,178.128.220.224:1080,true,1018.1038379669,3112,554,84.888161483906,178.128.220.224
true,1788718964.9324,elite,4648.1461434624,1788123380.6509,"AS24940 Hetzner Online GmbH",HETZNER-AS,Helsinki,Europe,EU,Finland,FI,,true,"Hetzner Online GmbH",60.1719,24.9347,false,"Hetzner Online GmbH",false,Uusimaa,success,Europe/Helsinki,00221,1788123382,1788718975.5859,9094,socks4,65.109.219.215:9094,true,851.55701637268,11110,15584,41.619839664344,65.109.219.215
true,1788708527.0696,elite,1666.7940602888,1785700486.9861,"AS42610 OJSC National Cable Networks",NCNET-AS,Moscow,Europe,EU,Russia,RU,,false,NCNET,55.7487,37.6187,false,,false,Moscow,success,Europe/Moscow,101000,1788118392,1788718975.566,8081,http,37.110.145.57:8081,false,155.09510040283,35995,8865,80.238519839501,37.110.145.57
